09/30/22 22:25--> Некорректный ввод режима работы (некорректная цифра)
09/30/22 23:17--> Некорректный ввод режима работы (введена не цифра)
09/30/22 23:17--> Некорректный ввод режима работы (введена не цифра)
10/01/22 00:06--> Некорректный ввод режима работы (некорректная цифра)
10/01/22 00:32--> Некорректный ввод режима работы (некорректная цифра)
10/01/22 09:32--> Некорректный ввод режима работы (введена не цифра)
10/01/22 11:02--> Некорректный ввод режима работы (введена не цифра)
10/01/22 12:09--> Некорректный ввод режима работы (введена не цифра)
10/01/22 12:13--> Некорректный ввод режима работы (введена не цифра)
10/01/22 12:25--> Некорректный ввод режима работы (введена не цифра)
10/01/22 12:59--> Отмена операции
10/01/22 16:22--> Отмена операции
